description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj              |genes
mTOR signaling pathway                                       |hsa04150     |37         |736       |89        |61686         |34.8433988764045   |2.31293e-47            |1.7198699999999999e-46|CHUK,AKT3,PIK3R3,FZD4,FZD1,FZD5,WNT7A,WNT1,TNF,SKP2,RPS6KB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,LRP6,RHOA,KRAS,IRS1,INSR,IKBKB,IGF1R,IGF1,GSK3B,GRB10,MTOR,AKT2,AKT1,EIF4EBP1,EIF4E,DVL3,DDIT4,WNT4,CAB39
Chemokine signaling pathway                                  |hsa04062     |41         |736       |130       |61686         |26.433173076923076 |1.985e-46              |1.43913e-45           |CHUK,ADCY6,CDC42,AKT3,PIK3R3,CXCR4,TIAM1,STAT5B,STAT3,SRC,SHC1,CCL5,CCL4,CCL2,RAP1B,RAF1,RAC1,PXN,MAP2K1,MAPK1,PRKACB,PIK3R2,PIK3CG,PIK3CD,PAK1,NRAS,NFKB1,RHOA,KRAS,JAK3,JAK2,CXCR2,IKBKB,GSK3B,GNAI3,GNAI2,FOXO3,AKT2,PTK2B,AKT1,CRK
JAK-STAT signaling pathway                                   |hsa04630     |39         |736       |111       |61686         |29.447635135135133 |2.2596299999999998e-46 |1.5982699999999998e-45|CDKN1A,AKT3,CCND3,CCND2,SOCS6,SOCS3,PIK3R3,STAT5B,STAT5A,STAT4,STAT3,BCL2,CCND1,RAF1,PIK3R2,PIK3CD,PIM1,PDGFRB,PDGFRA,MYC,MPL,MCL1,LIFR,JAK3,JAK2,JAK1,IL13,IL11,IL10RA,IL10,IL6R,IL6,IFNG,MTOR,SOCS4,AKT2,AKT1,EGFR,IL21R
Rap1 signaling pathway                                       |hsa04015     |43         |736       |159       |61686         |22.66627358490566  |2.2982699999999996e-45 |1.5869e-44            |ADCY6,CDH1,CDC42,AKT3,PIK3R3,VEGFA,ACTG1,TIAM1,SRC,RAP1B,RAF1,RAC1,MAP2K1,MAPK1,PIK3R2,PIK3CD,PDGFRB,PDGFRA,NRAS,MET,RHOA,KRAS,KIT,KDR,ITGB3,ITGB1,INSR,IGF1R,IGF1,GNAI3,GNAI2,FGFR3,FGF2,AKT2,AKT1,TLN2,EGFR,CTNND1,CSF1R,CSF1,MAPK14,PLCE1,CRK
Melanoma                                                     |hsa05218     |31         |736       |55        |61686         |47.23977272727273  |2.4115199999999995e-45 |1.62637e-44           |CDKN1A,CDK6,CDK4,CDH1,AKT3,PIK3R3,TP53,CCND1,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3CD,PDGFRB,PDGFRA,NRAS,MITF,MET,KRAS,IGF1R,IGF1,FGF2,AKT2,AKT1,EGFR,E2F3,E2F2,E2F1
ErbB signaling pathway                                       |hsa04012     |34         |736       |75        |61686         |37.995             |3.00067e-45            |1.97772e-44           |CDKN1B,CDKN1A,PAK4,AKT3,CBL,CAMK2D,PIK3R3,STAT5B,STAT5A,SRC,SHC1,RPS6KB1,RAF1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,PAK1,NRAS,MYC,KRAS,GSK3B,ABL2,MTOR,ABL1,AKT2,AKT1,ERBB3,ERBB2,EIF4EBP1,EGFR,HBEGF,CRK
Thyroid hormone signaling pathway                            |hsa04919     |35         |736       |84        |61686         |34.92187500000001  |6.56325e-45            |4.22965e-44           |AKT3,NCOA1,PIK3R3,NCOA3,ACTG1,TP53,THRB,SRC,SLC9A1,SLC2A1,CCND1,RAF1,MAP2K1,MAPK1,PRKACB,PIK3R2,PIK3CD,ATP1B1,NRAS,NOTCH2,NOTCH1,MYC,KRAS,ITGB3,ITGAV,HIF1A,HDAC2,GSK3B,MTOR,FOXO1,AKT2,AKT1,ESR1,WNT4,PLCE1
Non-small cell lung cancer                                   |hsa05223     |32         |736       |65        |61686         |41.261538461538464 |3.6187e-44             |2.28136e-43           |CDKN1A,CDK6,CDK4,AKT3,PIK3R3,TP53,STAT5B,STAT5A,STAT3,CCND1,RET,BAK1,RB1,RARB,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,MET,KRAS,JAK3,ALK,FOXO3,AKT2,AKT1,ERBB2,EGFR,E2F3,E2F2,E2F1
Autophagy - animal                                           |hsa04140     |37         |736       |106       |61686         |29.255306603773587 |6.267599999999999e-44  |3.8672400000000004e-43|ATG14,RRAS2,AKT3,ATG5,ATG12,BECN1,IRS2,PIK3R3,UVRAG,TRAF6,MAP3K7,RPS6KB1,BCL2,RAF1,RAB1A,PTEN,MAP2K1,MAPK9,MAPK1,PRKACB,PPP2CB,PIK3R2,PIK3CD,NRAS,KRAS,ITPR1,IRS1,IGF1R,HMGB1,HIF1A,MTOR,AKT2,AKT1,PRAP1,EIF2S1,ATG2B,DDIT4
Glioma                                                       |hsa05214     |31         |736       |61        |61686         |42.59323770491803  |2.10926e-43            |1.2743499999999997e-42|CDKN1A,CDK6,CDK4,AKT3,CAMK2D,CAMK4,PIK3R3,TP53,SHC1,CCND1,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3CD,PDGFRB,PDGFRA,NRAS,KRAS,IGF1R,IGF1,MTOR,AKT2,AKT1,EGFR,E2F3,E2F2,E2F1
Toxoplasmosis                                                |hsa05145     |34         |736       |83        |61686         |34.3328313253012   |2.40093e-43            |1.39254e-42           |CHUK,TAB2,AKT3,CASP3,TRAF6,TNF,TLR2,TGFB2,TGFB1,MAP3K7,STAT3,BCL2,MAPK9,MAPK1,PIK3CG,NFKB1,LAMC2,LAMC1,JAK2,JAK1,ITGB1,ITGA6,IL10RA,IL10,IKBKB,IFNG,XIAP,BIRC2,GNAI3,GNAI2,AKT2,AKT1,MAPK14,IRAK4
TNF signaling pathway                                        |hsa04668     |36         |736       |100       |61686         |30.1725            |2.36948e-43            |1.4023399999999999e-42|CHUK,TAB2,AKT3,CREB5,SOCS3,CASP3,TRADD,PIK3R3,TNFAIP3,TNF,MAP3K7,SELE,CCL5,CCL2,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,NFKB1,MMP14,MMP9,IL6,IKBKB,ICAM1,BIRC2,TAB3,DAB2IP,FOS,AKT2,AKT1,EDN1,NOD2,CSF1,MAPK14,CREB1
Central carbon metabolism in cancer                          |hsa05230     |30         |736       |55        |61686         |45.71590909090909  |2.5822699999999997e-43 |1.4683500000000002e-42|AKT3,PIK3R3,TP53,SLC2A1,RET,RAF1,PTEN,MAP2K1,MAPK1,PKM,PIK3R2,PIK3CD,PDGFRB,PDGFRA,NTRK3,NRAS,MYC,MET,KRAS,KIT,IDH2,IDH1,HK2,HIF1A,MTOR,FGFR3,AKT2,AKT1,ERBB2,EGFR
Transcriptional misregulation in cancer                      |hsa05202     |38         |736       |121       |61686         |26.321280991735534 |4.90574e-43            |2.7358999999999997e-42|CDKN1B,CDKN1A,CCND2,CCNA2,RUNX2,HMGA2,TP53,TGFBR2,ZEB1,SP1,BMI1,SIX1,BCL6,BAK1,PPARG,PLAU,PBX3,ATM,ATF1,NFKB1,MYCN,MYC,MMP9,MITF,MET,MEIS1,SMAD1,IL6,IGF1R,IGF1,BIRC2,HOXA10,HDAC2,H3-3A,FUT8,FOXO1,ERG,CSF1R
Fluid shear stress and atherosclerosis                       |hsa05418     |36         |736       |105       |61686         |28.735714285714288 |1.92579e-42            |1.05373e-41           |TXN2,CHUK,AKT3,ACVR2B,KEAP1,CAV1,PIK3R3,VEGFA,ACTG1,TP53,TNF,MAP3K7,BMPR1B,SRC,SELE,CCL2,BCL2,RAC1,MAPK9,PIK3R2,PIK3CD,NFKB1,MMP9,MMP2,RHOA,KDR,ITGB3,ITGAV,IKBKB,IFNG,ICAM1,FOS,AKT2,AKT1,EDN1,MAPK14
Apoptosis                                                    |hsa04210     |36         |736       |106       |61686         |28.464622641509436 |2.8839599999999994e-42 |1.5487899999999998e-41|CHUK,BCL2L11,AKT3,CASP3,CASP2,TNFSF10,TRADD,PIK3R3,ACTG1,TP53,TNF,BCL2,BAK1,RAF1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,ATM,NRAS,NFKB1,MCL1,KRAS,ITPR1,IKBKB,BIRC5,XIAP,BIRC2,DAB2IP,FOS,AKT2,AKT1,LMNB2,EIF2S1,BBC3
Neurotrophin signaling pathway                               |hsa04722     |34         |736       |92        |61686         |30.974184782608695 |1.77208e-41            |9.3437e-41            |CDC42,AKT3,CAMK2D,CAMK4,PIK3R3,TRAF6,TP53,SHC1,BDNF,BCL2,RAP1B,RAF1,RAC1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,NTRK3,NTRK2,NRAS,NFKB1,RHOA,KRAS,IRS1,IKBKB,GSK3B,ABL1,FOXO3,AKT2,AKT1,MAPK14,IRAK4,CRK
Prolactin signaling pathway                                  |hsa04917     |30         |736       |61        |61686         |41.21926229508197  |1.8214199999999997e-41 |9.43235e-41           |AKT3,CCND2,SOCS6,SOCS3,PIK3R3,STAT5B,STAT5A,STAT3,SRC,SHC1,CCND1,RAF1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,NRAS,NFKB1,KRAS,JAK2,GSK3B,FOS,FOXO3,SOCS4,AKT2,AKT1,ESR2,ESR1,MAPK14
Yersinia infection                                           |hsa05135     |36         |736       |112       |61686         |26.939732142857142 |2.9523899999999994e-41 |1.5020899999999999e-40|CHUK,TAB2,CDC42,ARPC5,AKT3,PIK3R3,ACTG1,TRAF6,TNF,MAP3K7,SRC,CCL2,RAC1,PXN,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,NFKB1,NFATC3,RHOA,ITGB1,IL18,IL10,IL6,IKBKB,GSK3B,FOS,AKT2,PTK2B,AKT1,ELMO2,MAPK14,IRAK4,CRK
Osteoclast differentiation                                   |hsa04380     |35         |736       |103       |61686         |28.479975728155342 |3.8938699999999995e-41 |1.9469299999999996e-40|CHUK,TAB2,AKT3,SOCS3,CAMK4,PIK3R3,TRAF6,TNF,BTK,TGFBR2,TGFBR1,TGFB2,TGFB1,MAP3K7,RAC1,MAP2K1,MAPK9,MAPK1,PPARG,PIK3R2,PIK3CD,NFKB1,MITF,JUND,JAK1,ITGB3,IKBKB,IFNG,FOS,AKT2,AKT1,CSF1R,CSF1,MAPK14,CREB1
Longevity regulating pathway                                 |hsa04211     |31         |736       |73        |61686         |35.5916095890411   |3.06807e-40            |1.50803e-39           |SIRT1,ADCY6,PPARGC1A,AKT3,CREB5,ATG5,IRS2,CAMK4,PIK3R3,TP53,SOD2,RPS6KB1,PRKACB,PPARG,PIK3R2,PIK3CD,NRAS,NFKB1,KRAS,IRS1,INSR,IGF1R,IGF1,MTOR,FOXO3,FOXO1,AKT2,AKT1,EIF4EBP1,EIF4E,CREB1
TGF-beta signaling pathway                                   |hsa04350     |30         |736       |66        |61686         |38.09659090909091  |4.08381e-40            |1.9738399999999996e-39|ACVR2B,GDF5,TNF,TGIF1,TGFBR2,TGFBR1,TGFB2,TGFB1,BMPR1B,BMP7,BMP6,SP1,RPS6KB1,MAPK1,PPP2CB,MYC,SMAD7,SMAD5,SMAD4,SMAD3,SMAD2,SMAD1,RHOA,IFNG,ACVR1C,FBN1,E2F5,TGIF2,SMURF1,GREM1
Wnt signaling pathway                                        |hsa04310     |32         |736       |83        |61686         |32.31325301204819  |7.930639999999998e-40  |3.77031e-39           |FRAT2,CCND3,CCND2,BTRC,CAMK2D,FZD4,FZD1,FZD5,WNT7A,WNT1,TP53,TCF7,MAP3K7,SFRP1,CCND1,RAC1,MAPK9,PRKACB,NFATC3,MYC,SMAD4,SMAD3,LRP6,RHOA,GSK3B,NKD1,TCF7L1,DVL3,CTBP2,WNT4,SOST,DKK2
Cushing syndrome                                             |hsa04934     |35         |736       |111       |61686         |26.427364864864867 |8.34163e-40            |3.9017299999999997e-39|ADCY6,CDKN1B,CDKN1A,CDK6,CDK4,SCARB1,CREB5,CCNE1,CCNE2,CAMK2D,FZD4,FZD1,FZD5,WNT7A,WNT1,TCF7,SP1,CCND1,RB1,RAP1B,MAP2K1,MAPK1,PRKACB,ITPR1,GSK3B,GNAI3,GNAI2,EGFR,TCF7L1,E2F3,E2F2,E2F1,DVL3,WNT4,CREB1
Growth hormone synthesis, secretion and action               |hsa04935     |33         |736       |93        |61686         |29.739919354838708 |1.3571399999999999e-39 |6.14952e-39           |ADCY6,AKT3,CREB5,SOCS3,IRS2,PIK3R3,STAT5B,STAT5A,STAT3,SHC1,RAF1,MAP2K1,MAPK9,MAPK1,PRKACB,PIK3R2,PIK3CD,NRAS,KRAS,JAK2,ITPR1,IRS1,IGF1,GSK3B,GNAI3,GNAI2,MTOR,FOS,AKT2,AKT1,MAPK14,CRK,CREB1
Insulin signaling pathway                                    |hsa04910     |33         |736       |93        |61686         |29.739919354838708 |1.3571399999999999e-39 |6.14952e-39           |PPARGC1A,AKT3,CBL,SOCS3,IRS2,PIK3R3,SREBF1,SHC1,RPS6KB1,RAF1,MAP2K1,MAPK9,MAPK1,PRKACB,PKLR,PIK3R2,PIK3CD,NRAS,KRAS,IRS1,INSR,IKBKB,HK2,GSK3B,MTOR,FOXO1,FASN,SOCS4,AKT2,AKT1,EIF4EBP1,EIF4E,CRK
AMPK signaling pathway                                       |hsa04152     |32         |736       |86        |61686         |31.186046511627907 |3.16462e-39            |1.41191e-38           |SIRT1,PPARGC1A,AKT3,CREB5,CCNA2,IRS2,PIK3R3,MAP3K7,SREBF1,RPS6KB1,CCND1,PPP2R2A,PPP2CB,PPARG,PIK3R2,PIK3CD,IRS1,INSR,IGF1R,IGF1,HMGCR,MTOR,FOXO3,FOXO1,FASN,AKT2,AKT1,ELAVL1,EIF4EBP1,CAB39,RAB14,CREB1
Chagas disease                                               |hsa05142     |32         |736       |87        |61686         |30.827586206896548 |4.9504099999999994e-39 |2.1751799999999997e-38|CHUK,AKT3,PIK3R3,TRAF6,TNF,TLR2,TGFBR2,TGFBR1,TGFB2,TGFB1,CCL5,CCL2,MAPK9,MAPK1,PPP2R2A,PPP2CB,PIK3R2,PIK3CD,SERPINE1,NFKB1,SMAD2,IL10,IL6,IKBKB,IFNG,GNAI3,GNAI2,FOS,AKT2,AKT1,MAPK14,IRAK4
Apelin signaling pathway                                     |hsa04371     |33         |736       |101       |61686         |27.38428217821782  |3.3942e-38             |1.46913e-37           |ADCY6,RRAS2,PPARGC1A,CDH1,HDAC5,AKT3,HDAC4,BECN1,CAMK4,TGFBR1,SLC9A1,SLC8A1,RPS6KB1,CCND1,RAF1,MAP2K1,MAPK1,PRKACB,PIK3CG,SERPINE1,NRAS,SMAD4,SMAD3,SMAD2,KRAS,ITPR1,GNAI3,GNAI2,MTOR,AKT2,AKT1,EGR1,CCN2
Axon guidance                                                |hsa04360     |32         |736       |92        |61686         |29.15217391304348  |4.21605e-38            |1.79802e-37           |CDC42,PAK4,PLXNC1,NRP1,CAMK2D,PIK3R3,CXCR4,BMPR1B,BMP7,SRC,SMO,RASA1,RAF1,RAC1,MAPK1,PIK3R2,PIK3CD,PAK1,NRAS,NFATC3,MET,RHOA,KRAS,ITGB1,GSK3B,GNAI3,GNAI2,ABL1,EPHB2,EPHA4,EFNB2,WNT4
Herpes simplex virus 1 infection                             |hsa05168     |35         |736       |123       |61686         |23.84908536585366  |5.11224e-38            |2.1486199999999995e-37|CHUK,TAB2,AKT3,SOCS3,CASP3,TRADD,PIK3R3,TRAF6,TP53,TNF,TLR2,MAP3K7,SRC,SRSF1,CCL5,CCL2,BCL2,BAK1,PIK3R2,PIK3CD,NFKB1,JAK2,JAK1,ITGB3,IL6,IKBKB,IFNG,BIRC2,HLA-G,MTOR,AKT2,AKT1,EIF4EBP1,EIF2S1,IRAK4
Estrogen signaling pathway                                   |hsa04915     |31         |736       |84        |61686         |30.930803571428573 |6.613910000000001e-38  |2.74005e-37           |ADCY6,AKT3,CREB5,NCOA1,PIK3R3,NCOA3,SRC,SP1,SHC1,BCL2,RAF1,MAP2K1,MAPK1,PRKACB,PIK3R2,PIK3CD,NRAS,MMP9,MMP2,KRAS,ITPR1,GNAI3,GNAI2,FOS,AKT2,AKT1,ESR2,ESR1,EGFR,HBEGF,CREB1
Pathways of neurodegeneration - multiple diseases            |hsa05022     |42         |736       |218       |61686         |16.147362385321102 |1.2445e-37             |5.083159999999999e-37 |FRAT2,ATG14,TUBB4B,CASP3,BECN1,CAMK2D,FZD4,FZD1,FZD5,WNT7A,WNT1,TNF,BDNF,ATXN1,BCL2,BAK1,RAF1,RAC1,RAB5A,RAB1A,MAP2K1,MAPK9,MAPK1,NRAS,NFKB1,COX2,LRP6,KRAS,ITPR1,APP,IL6,HSPA5,GSK3B,MTOR,EIF2S1,DVL3,ATG2B,CYBB,WNT4,CSF1,MAPK14,DKK2
PD-L1 expression and PD-1 checkpoint pathway in cancer       |hsa05235     |30         |736       |77        |61686         |32.65422077922078  |1.38591e-37            |5.58212e-37           |CHUK,AKT3,PIK3R3,TRAF6,TLR2,STAT3,RPS6KB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,NFKB1,NFATC3,KRAS,JAK2,JAK1,IKBKB,IFNG,HIF1A,MTOR,ALK,FOS,AKT2,AKT1,EGFR,MAPK14,CD274
Acute myeloid leukemia                                       |hsa05221     |28         |736       |64        |61686         |36.66796875000001  |6.28877e-37            |2.4982799999999998e-36|CHUK,AKT3,CCNA2,PIK3R3,TCF7,STAT5B,STAT5A,STAT3,RPS6KB1,CCND1,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3CD,PIM1,NRAS,NFKB1,MYC,KRAS,KIT,IKBKB,MTOR,AKT2,AKT1,EIF4EBP1,TCF7L1,CSF1R
Bladder cancer                                               |hsa05219     |24         |736       |39        |61686         |51.57692307692307  |1.01316e-36            |3.97048e-36           |CDKN1A,CDK4,CDH1,VEGFA,TP53,SRC,CCND1,RB1,RAF1,MAP2K1,MAPK1,NRAS,MYC,MMP9,MMP2,MMP1,KRAS,FGFR3,ERBB2,EGFR,E2F3,E2F2,E2F1,HBEGF
Insulin resistance                                           |hsa04931     |29         |736       |74        |61686         |32.84543918918919  |1.82612e-36            |7.060999999999999e-36 |PPARGC1A,AKT3,CREB5,SOCS3,IRS2,PIK3R3,TNF,STAT3,SREBF1,SLC2A1,RPS6KB1,PTEN,MAPK9,PTPA,PPARA,PIK3R2,PIK3CD,NFKB1,IRS1,INSR,IL6,IKBKB,GSK3B,MTOR,FOXO1,AKT2,AKT1,TRIB3,CREB1
Non-alcoholic fatty liver disease                            |hsa04932     |28         |736       |68        |61686         |34.51102941176471  |5.3595499999999994e-36 |2.0450899999999997e-35|CDC42,BCL2L11,AKT3,SOCS3,CASP3,IRS2,PIK3R3,TNF,TGFB1,SREBF1,RAC1,MAPK9,PPARA,PKLR,PIK3R2,PIK3CD,NFKB1,COX2,IRS1,INSR,IL6R,IL6,IKBKB,GSK3B,FOS,AKT2,AKT1,EIF2S1
Renal cell carcinoma                                         |hsa05211     |27         |736       |61        |61686         |37.09733606557378  |7.89223e-36            |2.9724e-35            |CDKN1A,CDC42,PAK4,AKT3,PIK3R3,VHL,VEGFA,TGFB2,TGFB1,SLC2A1,RAP1B,RAF1,RAC1,MAP2K1,MAPK1,PIK3R2,PIK3CD,PAK1,NRAS,MET,KRAS,HIF1A,AKT2,AKT1,ETS1,EPAS1,CRK
Influenza A                                                  |hsa05164     |33         |736       |117       |61686         |23.639423076923077 |8.95167e-36            |3.32819e-35           |CHUK,CDK6,CDK4,AKT3,CCND3,SOCS3,CASP3,TNFSF10,TRADD,PIK3R3,ACTG1,TNF,CCL5,CCL2,BAK1,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3CD,NFKB1,MX1,JAK2,JAK1,IL18,IL6,IKBKB,IFNG,ICAM1,AKT2,AKT1,EIF2S1,IRAK4
Platelet activation                                          |hsa04611     |31         |736       |99        |61686         |26.24431818181818  |2.71619e-35            |9.97082e-35           |ADCY6,AKT3,PIK3R3,ACTG1,BTK,STIM1,SRC,RAP1B,MAPK1,PRKACB,PIK3R2,PIK3CG,PIK3CD,RHOA,PLA2G4B,ITPR1,ITGB3,ITGB1,GP1BA,GNAI3,GNAI2,FGG,FGB,FGA,AKT2,AKT1,TLN2,MAPK14,COL3A1,COL1A2,COL1A1
Pathogenic Escherichia coli infection                        |hsa05130     |32         |736       |112       |61686         |23.94642857142857  |6.22731e-35            |2.2574e-34            |CHUK,TAB2,CDC42,TUBB4B,ARPC5,CASP3,TNFSF10,TRADD,EZR,ACTG1,TRAF6,TNF,MAP3K7,SRC,BAK1,RAC1,RAB1A,MAPK9,MAPK1,PAK1,NFKB1,RHOA,ITGB1,IL18,IL6,IKBKB,GAPDH,TAB3,ABL1,FOS,MAPK14,IRAK4
Neutrophil extracellular trap formation                      |hsa04613     |30         |736       |93        |61686         |27.036290322580648 |1.2051699999999999e-34 |4.31482e-34           |HDAC5,HDAC6,AKT3,HDAC4,PIK3R3,ACTG1,TLR2,MAP3K7,SRC,RAF1,RAC1,MAP2K1,MAPK1,PIK3R2,PIK3CD,NFKB1,ITGB3,HMGB1,HDAC2,H3-3A,GP1BA,MTOR,FGG,FGB,FGA,AKT2,AKT1,HDAC8,CYBB,MAPK14
Regulation of actin cytoskeleton                             |hsa04810     |34         |736       |142       |61686         |20.06778169014084  |3.906180000000001e-34  |1.3814599999999999e-33|RRAS2,CDC42,PAK4,ARPC5,PIK3R3,CXCR4,EZR,ACTG1,TIAM1,SRC,SLC9A1,RAF1,RAC1,PXN,MAP2K1,MAPK1,PIK3R2,PIK3CD,PDGFRB,PDGFRA,PAK1,NRAS,RHOA,KRAS,ITGB3,ITGB1,ITGAV,ITGA3,ITGA6,PIKFYVE,FGFR3,FGF2,EGFR,CRK
Tuberculosis                                                 |hsa05152     |32         |736       |124       |61686         |21.629032258064516 |2.3912099999999997e-33 |8.354829999999999e-33 |CORO1A,AKT3,CASP3,TRADD,CAMK2D,TRAF6,TNF,TLR2,TGFB2,TGFB1,SRC,BCL2,RAF1,RAB5B,RAB5A,MAPK9,MAPK1,NFKB1,RHOA,JAK2,JAK1,IL18,IL10RA,IL10,IL6,IFNG,AKT2,AKT1,NOD2,MAPK14,IRAK4,CREB1
Coronavirus disease - COVID-19                               |hsa05171     |31         |736       |114       |61686         |22.79111842105263  |3.9369699999999994e-33 |1.3591899999999998e-32|CHUK,TAB2,NRP1,PIK3R3,TRAF6,TNF,TLR2,MAP3K7,ADAM17,STAT3,CCL2,MAPK9,MAPK1,PIK3R2,PIK3CD,NFKB1,MX1,MMP1,JAK1,IL6R,IL6,IKBKB,FOS,FGG,FGB,FGA,EGFR,HBEGF,CYBB,MAPK14,IRAK4
Endometrial cancer                                           |hsa05213     |24         |736       |50        |61686         |40.23              |4.33309e-33            |1.47835e-32           |CDKN1A,CDH1,AKT3,PIK3R3,TP53,TCF7,CCND1,BAK1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,MYC,KRAS,GSK3B,FOXO3,AKT2,AKT1,ERBB2,EGFR,TCF7L1
cAMP signaling pathway                                       |hsa04024     |34         |736       |152       |61686         |18.747532894736842 |4.8077499999999997e-33 |1.62122e-32           |ADCY6,RRAS2,AKT3,CREB5,CAMK2D,CAMK4,PIK3R3,TIAM1,SOX9,SLC9A1,BDNF,RAP1B,RAF1,RAC1,MAP2K1,MAPK9,MAPK1,PRKACB,PPARA,PIK3R2,PIK3CD,ATP1B1,PAK1,NFKB1,RHOA,HTR1B,GNAI3,GNAI2,FOS,AKT2,AKT1,EDN1,PLCE1,CREB1
T cell receptor signaling pathway                            |hsa04660     |28         |736       |87        |61686         |26.974137931034484 |2.1682499999999998e-32 |7.227489999999999e-32 |CHUK,CDK4,CDC42,PAK4,AKT3,PIK3R3,TNF,MAP3K7,RAF1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,PAK1,NRAS,NFKB1,NFATC3,RHOA,KRAS,IL10,IKBKB,IFNG,GSK3B,FOS,AKT2,AKT1,MAPK14
IL-17 signaling pathway                                      |hsa04657     |26         |736       |71        |61686         |30.6919014084507   |6.769439999999999e-32  |2.2308399999999997e-31|CHUK,TAB2,TRAF3IP2,CASP3,TRADD,TRAF6,TNFAIP3,TNF,MAP3K7,SRSF1,CCL2,MAPK9,MAPK1,NFKB1,MMP9,MMP1,JUND,IL13,IL6,IKBKB,IFNG,GSK3B,TAB3,FOS,ELAVL1,MAPK14
Progesterone-mediated oocyte maturation                      |hsa04914     |25         |736       |63        |61686         |33.25892857142857  |8.799329999999999e-32  |2.8671999999999995e-31|ADCY6,CDC25C,CDC25A,AKT3,CCNB1,CCNA2,PIK3R3,RAF1,MAP2K1,MAPK9,MAPK1,PRKACB,PLK1,PIK3R2,PIK3CD,MAD2L1,KRAS,IGF1R,IGF1,GNAI3,GNAI2,AKT2,AKT1,CPEB4,MAPK14
Th17 cell differentiation                                    |hsa04659     |27         |736       |84        |61686         |26.939732142857146 |2.90482e-31            |9.257129999999998e-31 |CHUK,TGFBR2,TGFBR1,TGFB1,STAT5B,STAT5A,STAT3,RORC,MAPK9,MAPK1,NFKB1,NFATC3,SMAD4,SMAD3,SMAD2,JAK3,JAK2,JAK1,IL6R,IL6,IKBKB,IFNG,HIF1A,MTOR,FOS,MAPK14,IL21R
Parathyroid hormone synthesis, secretion and action          |hsa04928     |27         |736       |84        |61686         |26.939732142857146 |2.90482e-31            |9.257129999999998e-31 |ADCY6,MMP24,CDKN1A,MAFB,CREB5,RUNX2,SP1,BCL2,RAF1,MAP2K1,MAPK1,PRKACB,MMP16,MMP15,MMP14,LRP6,RHOA,JUND,ITPR1,GNAI3,GNAI2,FOS,EGR1,EGFR,HBEGF,SOST,CREB1
Longevity regulating pathway - multiple species              |hsa04213     |23         |736       |50        |61686         |38.55375           |3.2944899999999994e-31 |1.0384799999999998e-30|SIRT1,ADCY6,AKT3,ATG5,IRS2,PIK3R3,SOD2,RPS6KB1,PRKACB,PIK3R2,PIK3CD,NRAS,KRAS,IRS1,INSR,IGF1R,IGF1,HDAC2,MTOR,FOXO3,FOXO1,AKT2,AKT1
NOD-like receptor signaling pathway                          |hsa04621     |30         |736       |118       |61686         |21.30826271186441  |3.94805e-31            |1.23111e-30           |TXN2,CHUK,TAB2,TXNIP,ATG5,ATG12,TRAF6,TNFAIP3,TNF,MAP3K7,CCL5,CCL2,BCL2,MAPK9,MAPK1,NFKB1,RHOA,JAK1,ITPR1,IL18,IL6,IKBKB,XIAP,BIRC2,TAB3,NOD2,ERBIN,CYBB,MAPK14,IRAK4
Sphingolipid signaling pathway                               |hsa04071     |26         |736       |78        |61686         |27.937499999999996 |1.23642e-30            |3.81449e-30           |AKT3,TRADD,PIK3R3,TP53,TNF,BCL2,RAF1,RAC1,PTEN,MAP2K1,MAPK9,MAPK1,PPP2R2A,PPP2CB,PIK3R2,PIK3CD,NRAS,NFKB1,RHOA,KRAS,GNAI3,GNAI2,AKT2,AKT1,MAPK14,CERS2
Cytokine-cytokine receptor interaction                       |hsa04060     |32         |736       |151       |61686         |17.76158940397351  |2.2622699999999997e-30 |6.90588e-30           |ACVR2B,TNFSF10,GDF5,CXCR4,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,BMPR1B,BMP7,BMP6,CCL5,CCL4,CCL2,MPL,LIFR,IL18,IL13,IL11,IL10RA,IL10,CXCR2,IL6R,IL6,IFNG,IL34,ACVR1C,ACKR3,CSF1R,CSF1,IL21R
